0	1	2	3	4	5
0.092996314	0.29494843	0.16393186	0.21912469	0.064196706	0.164802
0.09819709	0.25860614	0.16502756	0.22131482	0.07843916	0.17841521
0.09553786	0.3048043	0.1626393	0.21596171	0.06298376	0.15807311
0.09739926	0.31308094	0.16176024	0.21192184	0.06509013	0.15074766
0.09659423	0.30932674	0.16196427	0.21423441	0.06383199	0.15404837
0.09401653	0.2698777	0.16529906	0.22139372	0.07332309	0.17608982
0.098531775	0.31881157	0.16155294	0.20913813	0.06751624	0.14444937
0.0994684	0.3217881	0.16154769	0.20788103	0.068581864	0.1407329
0.09858271	0.3191184	0.16152652	0.20911604	0.06755445	0.14410187
0.09975859	0.3227308	0.1616663	0.20714022	0.06907763	0.13962644
0.11321128	0.17004852	0.16704467	0.21296062	0.10558075	0.23115417
0.09228226	0.28175133	0.16490631	0.22067513	0.06800078	0.17238419
