0	1	2	3	4	5
0.072768025	0.27407765	0.1554501	0.22923875	0.083979234	0.1844862
0.077262476	0.2695598	0.15907308	0.22901092	0.08592374	0.17917001
0.047203146	0.3236604	0.16160217	0.23672852	0.06794373	0.16286196
0.046890363	0.32238638	0.16164891	0.23649953	0.06779602	0.16477875
0.051954497	0.30674735	0.15504707	0.23380925	0.07302315	0.17941871
0.06998465	0.2785578	0.1551392	0.23033896	0.0822023	0.18377708
0.048239898	0.34770504	0.17111251	0.2365351	0.064134836	0.1322726
0.049237024	0.35189697	0.17277558	0.23622778	0.063922696	0.12593997
0.048682887	0.34799382	0.17086062	0.23622479	0.06427639	0.13196146
0.050366994	0.3567014	0.17584006	0.23567308	0.06360731	0.11781113
0.060365416	0.2913188	0.155037	0.23266183	0.07735121	0.1832658
0.062633105	0.28878096	0.15478835	0.23150967	0.07944142	0.1828465
